url,main_title,publication_date,author,h2_headings
https://www.cancer.org/cancer/types/lung-cancer/treating-small-cell/chemotherapy.html,Chemotherapy for Small Cell Lung Cancer,2024-01-29,American Cancer Society,When is chemotherapy used?; Chemo drugs used to treat SCLC; How is chemotherapy given?; Possible side effects of chemotherapy for SCLC; More information about chemotherapy; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/treating-small-cell/immunotherapy.html,Immunotherapy for Small Cell Lung Cancer,2024-12-06,American Cancer Society,Immune checkpoint inhibitors; Bispecific T-cell engager (BiTE); More information about immunotherapy; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/treating-small-cell/radiation-therapy.html,Radiation Therapy for Small Cell Lung Cancer,2024-01-29,American Cancer Society,When is radiation therapy used?; Types of radiation therapy; Possible side effects of radiation therapy for SCLC; More information about radiation therapy; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/treating-small-cell/surgery.html,Surgery for Small Cell Lung Cancer,2024-01-29,American Cancer Society,Tests before lung surgery; Types of lung surgery; Ways to do lung surgery; Intraoperative imaging; Possible risks and side effects of lung surgery; After surgery; More information about surgery; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/treating-small-cell/palliative.html,Palliative Procedures for Small Cell Lung Cancer,2024-01-29,American Cancer Society,Options for palliative support; Treating fluid buildup in the area around the lung; Treating fluid buildup around the heart; Treating an airway blocked by a tumor; More information about palliative care; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/treating-small-cell/by-stage.html,"Treatment Choices for Small Cell Lung Cancer, by Stage",2024-12-06,American Cancer Society,Treating limited-stage SCLC; Treating extensive-stage SCLC; SCLC that progresses or recurs after treatment; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/if-you-have-non-small-cell-lung-cancer-nsclc.html,If You Have Non-small Cell Lung Cancer,2024-01-29,American Cancer Society,What is lung cancer?; How will the doctor know I have lung cancer?; How serious is my cancer?; What kind of treatment will I need?; What will happen after treatment?; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/if-you-have-small-cell-lung-cancer-sclc.html,If You Have Small Cell Lung Cancer,2024-01-29,American Cancer Society,What is lung cancer?; How will the doctor know if I have lung cancer?; How serious is my cancer?; What kind of treatment will I need?; What will happen after treatment?; Cookie Policy
https://www.cancer.gov/types/lung/patient/non-small-cell-lung-treatment-pdq,Non-Small Cell Lung Cancer Treatment (PDQ®)–Patient Version,2024-10-11,National Cancer Institute,"General Information About Non-Small Cell Lung Cancer; Stages of Non-Small Cell Lung Cancer; Treatment Option Overview; Treatment of Occult Non-Small Cell Lung Cancer; Treatment of Stage 0 (Carcinoma in Situ); Treatment of Stage I Non-Small Cell Lung Cancer; Treatment of Stage II Non-Small Cell Lung Cancer; Treatment of Stage IIIA Non-Small Cell Lung Cancer; Treatment of Stage IIIB and Stage IIIC Non-Small Cell Lung Cancer; Treatment of Newly Diagnosed Stage IV, Relapsed, and Recurrent Non-Small Cell Lung Cancer; Treatment of Progressive Stage IV, Relapsed, and Recurrent Non-Small Cell Lung Cancer; To Learn More About Non-Small Cell Lung Cancer; About This PDQ Summary"
https://www.cancer.gov/types/lung/patient/small-cell-lung-treatment-pdq,Small Cell Lung Cancer Treatment (PDQ®)–Patient Version,2024-11-01,National Cancer Institute,General Information About Small Cell Lung Cancer; Stages of Small Cell Lung Cancer; Treatment Option Overview; Treatment of Limited-Stage Small Cell Lung Cancer; Treatment of Extensive-Stage Small Cell Lung Cancer; Treatment of Recurrent Small Cell Lung Cancer; To Learn More About Small Cell Lung Cancer; About This PDQ Summary
https://www.cancer.gov/types/lung/hp/non-small-cell-lung-treatment-pdq,Non-Small Cell Lung Cancer Treatment (PDQ®)–Health Professional Version,2024-08-30,National Cancer Institute,"General Information About Non-Small Cell Lung Cancer (NSCLC); Cellular and Molecular Classification of NSCLC; Stage Information for NSCLC; Treatment Option Overview for NSCLC; Treatment of Occult NSCLC; Treatment of Stage 0 NSCLC; Treatment of Stages IA and IB NSCLC; Treatment of Stages IIA and IIB NSCLC; Treatment of Stage IIIA NSCLC; Treatment of Stages IIIB and IIIC NSCLC; Treatment of Newly Diagnosed Stage IV, Relapsed, and Recurrent NSCLC; Treatment of Progressive Stage IV, Relapsed, and Recurrent NSCLC; Latest Updates to This Summary (08/30/2024); About This PDQ Summary"
https://www.cancer.gov/types/lung/hp/small-cell-lung-treatment-pdq,Small Cell Lung Cancer Treatment (PDQ®)–Health Professional Version,2024-06-27,National Cancer Institute,General Information About Small Cell Lung Cancer (SCLC); Cellular Classification of SCLC; Stage Information for SCLC; Treatment Option Overview for SCLC; Treatment of Limited-Stage SCLC; Treatment of Extensive-Stage SCLC; Treatment of Recurrent SCLC; Latest Updates to This Summary (06/27/2024); About This PDQ Summary
